City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Alice Springs,0,AU,1544283000,33,-23.7,133.88,25.0,2.51
Bay Roberts,90,CA,1544281200,86,47.58,-53.28,-3.0,2.1
West Wendover,1,US,1544280960,91,40.74,-114.07,-6.1,1.5
Sambava,24,MG,1544284364,100,-14.27,50.17,27.48,6.61
Mitu,88,IR,1544284549,97,36.2,46.09,2.25,1.06
Norden,75,DE,1544282700,76,53.59,7.21,9.0,10.8
Abu Samrah,24,SY,1544284549,93,35.3,37.18,10.43,1.96
Pisco,40,PE,1544281200,30,-13.71,-76.2,22.0,4.6
Boende,80,CD,1544284549,92,-0.28,20.88,23.83,1.41
Port Angeles,1,US,1544283300,80,48.12,-123.43,6.7,2.1
Kharan,0,PK,1544284550,90,28.58,65.42,10.95,0.86
Atikokan,48,CA,1544284550,84,48.76,-91.62,-12.85,2.51
Gat,0,SN,1544281200,16,14.69,-16.54,38.0,2.1
Bonavista,56,CA,1544284383,100,48.65,-53.11,-2.18,3.11
Olutanga,0,PH,1544284551,99,7.31,122.85,29.8,3.16
Altay,0,CN,1544284551,27,47.83,88.13,-30.55,0.71
Amethi,0,IN,1544283000,72,26.76,81.16,15.0,1.0
Agirish,80,RU,1544284441,87,61.92,63.02,-8.0,2.06
Thinadhoo,64,MV,1544284552,100,0.53,72.93,28.5,3.76
Segezha,92,RU,1544284552,82,63.74,34.31,-2.5,4.81
Bongor,8,TD,1544284552,29,10.28,15.37,31.43,3.96
Fairbanks,90,US,1544281980,92,64.84,-147.72,-7.2,1.5
Maralal,8,KE,1544284553,78,1.1,36.7,20.65,1.41
Hermon,100,GB,1544280600,76,51.96,-4.61,12.0,16.5
Biltine,0,TD,1544284553,22,14.53,20.93,31.05,4.01
Klaksvik,56,FO,1544282400,64,62.23,-6.59,3.0,4.6
Palana,56,RU,1544284554,83,59.08,159.95,-11.85,1.16
Acari,8,BR,1544284554,64,-6.44,-36.64,30.23,2.61
Touros,75,BR,1544281200,62,-5.2,-35.46,31.0,4.6
Matara,75,PE,1544281200,61,-13.74,-72.9,10.0,3.6
Bonthe,0,SL,1544284555,45,7.53,-12.5,35.05,0.96
Natal,40,BR,1544281200,55,-5.81,-35.21,31.0,4.6
Vardo,1,US,1544283300,63,39.62,-77.74,0.0,1.5
Mugur-Aksy,0,RU,1544284556,37,50.38,90.44,-34.43,0.76
Petropavlovka,36,RU,1544284556,35,50.61,105.32,-31.9,1.21
Frunze,92,UA,1544284556,82,46.83,29.88,3.68,4.21
Alta Floresta,64,BR,1544284432,83,-9.87,-56.08,26.85,1.31
Ucar,90,AZ,1544281200,87,40.51,47.65,9.0,2.1
Maniitsoq,8,GL,1544284352,100,65.42,-52.9,-12.15,2.31
Gillette,1,US,1544280780,71,44.29,-105.5,-5.6,3.1
Leshukonskoye,80,RU,1544284557,76,64.9,45.76,-4.2,3.56
Ingham,100,AU,1544284557,100,-18.65,146.16,23.18,9.26
Honiara,8,SB,1544284557,97,-9.43,159.96,23.43,0.61
Atar,0,MR,1544284557,11,20.52,-13.05,31.35,4.66
Nizhniy Kuranakh,64,RU,1544284558,60,58.84,125.49,-29.7,1.66
Goure,0,NE,1544284558,19,13.98,10.27,30.0,4.46
Kathu,0,ZA,1544284558,15,-27.7,23.05,29.73,6.46
Ambilobe,64,MG,1544284558,95,-13.19,49.05,25.9,1.41
Helmstedt,90,DE,1544282400,75,52.23,11.01,8.0,8.7
Toora-Khem,64,RU,1544284559,74,52.47,96.11,-28.78,1.06
Kitimat,90,CA,1544283600,92,54.02,-128.69,-4.0,1.5
Aswan,0,EG,1544281200,34,24.09,32.9,19.0,4.6
Cap Malheureux,40,MU,1544281200,74,-19.98,57.61,27.0,2.6
Balkanabat,88,TM,1544284560,95,39.51,54.36,6.23,0.61
Shibetsu,76,JP,1544284561,72,44.15,142.46,-7.3,2.21
Lakes Entrance,56,AU,1544284561,81,-37.88,147.99,20.0,2.86
Limon,1,US,1544280900,83,39.26,-103.69,-8.3,1.96
Santa Maria,0,BR,1544284563,50,-29.69,-53.81,23.15,3.91
Sisimiut,0,GL,1544284563,100,66.94,-53.67,-18.2,2.11
Mandalgovi,0,MN,1544284563,55,45.76,106.27,-25.6,4.66
Ornskoldsvik,92,SE,1544282400,100,63.29,18.72,1.0,3.6
Anjozorobe,40,MG,1544283000,64,-18.4,47.88,23.0,5.1
Katherine,90,AU,1544283000,70,-14.47,132.26,30.0,3.1
Umm Kaddadah,0,SD,1544284564,15,13.6,26.69,27.4,3.41
Whitianga,0,NZ,1544284565,100,-36.83,175.7,16.93,6.41
Kahului,40,US,1544280960,78,20.89,-156.47,22.8,4.6
Pearl Lagoon,75,NI,1544281200,83,12.34,-83.67,27.0,2.1
Chapais,90,CA,1544284140,76,49.78,-74.86,-22.0,3.1
Berlevag,0,NO,1544284129,100,70.86,29.09,-10.93,3.11
Jackville,20,CI,1544281200,66,5.21,-4.42,31.0,4.1
Olonets,92,RU,1544284566,78,60.98,32.97,-2.2,5.11
Yelniki,88,RU,1544284566,87,54.62,43.88,-7.3,2.16
Byron Bay,90,AU,1544283000,77,-28.65,153.62,21.0,2.1
College,90,US,1544281980,92,64.86,-147.8,-7.2,1.5
Khani,90,GE,1544283000,87,41.96,42.96,7.0,1.0
Trebisacce,90,IT,1544280900,100,39.87,16.53,18.0,10.3
Andilamena,24,MG,1544284567,46,-17.01,48.57,26.08,2.36
Palencia,0,ES,1544283000,54,42.01,-4.53,12.0,2.1
Bilibino,12,RU,1544284568,83,68.06,166.44,-40.0,1.01
Kautokeino,88,NO,1544284568,80,69.01,23.04,-15.08,1.06
Hasaki,75,JP,1544283000,93,35.73,140.83,3.0,3.6
Okhotsk,44,RU,1544284439,100,59.36,143.24,-10.08,2.51
Rancho Palos Verdes,5,US,1544281080,81,33.75,-118.37,12.8,2.86
Ridgecrest,1,US,1544280960,92,35.62,-117.67,1.1,2.1
Winton,0,AU,1544284569,31,-22.38,143.04,25.3,4.76
Fort-Shevchenko,92,KZ,1544284570,100,44.51,50.26,1.18,4.46
Limbang,75,BN,1544283000,94,4.75,115.01,27.0,2.1
Kijang,0,KR,1544281200,42,35.24,129.21,-3.0,2.1
Mosquera,75,CO,1544281200,48,4.71,-74.23,17.0,3.1
Kumluca,8,TR,1544284571,94,36.37,30.29,3.6,0.71
Puri,40,ID,1544281200,78,-7.54,112.45,28.0,2.1
Marawi,0,PH,1544284393,93,8.0,124.29,16.95,1.21
Am Timan,8,TD,1544284423,18,11.04,20.28,34.25,2.06
Khuzhir,56,RU,1544284571,100,53.19,107.35,-18.43,2.21
La Union,24,GT,1544284572,84,14.97,-89.29,20.93,1.01
Puerto Leguizamo,100,CO,1544284572,96,-0.19,-74.78,23.8,1.21
Eugene,90,US,1544282880,92,44.05,-123.1,2.2,1.41
Voznesenye,64,RU,1544284572,95,61.02,35.48,-2.85,8.81
Dubbo,0,AU,1544283000,42,-32.25,148.6,20.0,2.6
Mae Hong Son,92,MM,1544284573,97,19.3,97.96,18.23,0.96
Lokossa,32,BJ,1544284573,52,6.65,1.72,33.93,2.56
Mayo,40,CA,1544281200,68,63.59,-135.9,-2.0,1.0
Haradok,90,BY,1544281200,92,55.46,29.99,-5.0,6.0
Flagstaff,1,US,1544283300,71,35.2,-111.65,6.0,3.1
Cabatuan,56,PH,1544284574,93,16.95,121.67,21.2,1.61
Polis,40,CY,1544283000,59,35.04,32.42,18.0,2.1
Savinka,92,RU,1544284575,94,50.08,47.1,-2.6,2.81
Laguna,5,MX,1544280300,93,27.52,-110.01,12.0,1.0
Bambanglipuro,92,ID,1544284575,98,-7.95,110.28,23.05,1.51
Caceres,64,CO,1544284576,94,5.53,-74.53,21.33,0.91
Krasnogorsk,90,RU,1544283000,85,55.82,37.34,-3.0,4.0
Plast,20,RU,1544284576,48,54.37,60.81,-19.35,2.36
Minab,0,IR,1544283000,53,27.15,57.07,24.0,4.1
Ube,40,JP,1544281200,41,33.96,131.25,5.0,8.7
Madaoua,0,NE,1544284577,19,14.07,5.96,32.05,4.31
Palmer,90,US,1544282880,81,61.6,-149.11,2.2,2.6
Flinders,0,AU,1544284316,82,-34.58,150.85,19.73,2.11
Bodden Town,40,KY,1544281200,74,19.28,-81.25,29.0,5.1
Mujiayingzi,0,CN,1544284578,41,42.12,118.78,-21.45,1.66
Tongchuan,0,CN,1544281200,32,34.9,108.95,-4.0,2.0
Nchelenge,12,ZM,1544284578,68,-9.35,28.74,26.6,1.86
Hammerfest,0,NO,1544282400,68,70.66,23.68,-3.0,5.1
Dabakala,0,CI,1544284578,44,8.36,-4.43,33.05,3.21
Kita,75,JP,1544283000,72,35.76,139.74,10.0,7.7
Ca Mau,56,VN,1544284579,90,9.18,105.15,26.7,5.51
Peniche,0,PT,1544281200,72,39.36,-9.38,17.0,3.6
North Bend,20,US,1544280960,96,43.41,-124.22,7.2,2.6
Barreirinhas,44,BR,1544284580,100,-2.75,-42.83,28.3,3.01
Viransehir,88,TR,1544284580,98,37.24,39.76,9.0,1.56
Kasempa,48,ZM,1544284580,77,-13.46,25.83,25.75,1.71
Port Lavaca,90,US,1544282400,91,28.61,-96.63,10.6,6.7
Jiayuguan,0,CN,1544284336,53,39.77,98.29,-26.3,1.06
Bani Walid,56,LY,1544284581,65,31.76,14.0,17.3,3.41
Waipawa,24,NZ,1544284581,84,-39.94,176.59,8.55,1.16
Iquique,0,CL,1544281200,60,-20.22,-70.14,22.0,7.7
Madinat Sittah Uktubar,40,EG,1544283000,52,29.82,31.05,18.0,2.1
Srednekolymsk,36,RU,1544284414,75,67.46,153.71,-38.53,1.31
Trincomalee,100,LK,1544284582,82,8.58,81.23,26.15,4.51
Sandomierz,64,PL,1544283000,86,50.68,21.75,4.0,2.1
Ternate,20,PH,1544281200,69,14.29,120.72,28.0,0.5
Necochea,0,AR,1544284583,66,-38.55,-58.74,25.43,6.61
